,zipcode,total,non_whiteFraction,non_whiteFraction_err
151,10570,12966,0.13843899429276574,0.06770608044637615
152,10573,38958,0.4013296370450229,0.0579551282274575
153,10576,4878,0.10578105781057812,0.12306041036896714
154,10577,6508,0.27443146896127846,0.11558058841885717
155,10578,843,0.12574139976275212,0.4102341255530251
156,10579,9438,0.04619622801440981,0.06832948201204721
157,10580,17270,0.09704690214244349,0.03160180609220214
158,10583,40054,0.20070404953313026,0.03743579902185209
159,10588,2748,0.15101892285298402,0.34357044636926387
160,10589,9229,0.06349550330480014,0.06256855160325098
161,10590,6937,0.08894334726827158,0.12089419092867845
162,10591,23394,0.2960160724972215,0.05624675783743774
163,10594,5076,0.11111111111111116,0.10246949146767868
164,10595,8237,0.20395775160859542,0.09729314682221249
165,10596,1727,0.20787492762015058,0.2885771653461224
166,10597,1154,0.0,0.6703421305182695
167,10598,29489,0.12601308962664048,0.04297214965918842
168,10601,11519,0.48797638683913536,0.1347028081226199
169,10603,17429,0.4508003901543405,0.09684707876727183
170,10604,11153,0.21303685107146064,0.0976540835750995
171,10605,17470,0.24859759587864916,0.06256230997142612
172,10606,18312,0.47782874617737003,0.13634034833685146
173,10607,6806,0.5146929180135175,0.21283644499980509
174,10701,58841,0.4884859196818545,0.06479372903198147
175,10703,21039,0.4948429107847331,0.10465538798251682
176,10704,32125,0.29593774319066146,0.06326868934814726
177,10705,41008,0.5651092469761998,0.0973026532862735
178,10706,8776,0.10448951686417507,0.04769867956441972
179,10707,10253,0.1969179752267629,0.0745263936666443
180,10708,22632,0.1679922234004949,0.05756681981886223
181,10709,9090,0.09581958195819584,0.08311589475504562
182,10710,27602,0.38497210347076294,0.06728970406535147
183,10801,42154,0.47347819898467525,0.050065690085511955
184,10803,12560,0.23670382165605097,0.04763259647959893
185,10804,14634,0.13905972393057264,0.0647260334016273
186,10805,18503,0.37842512025077013,0.08952570058250697
187,10901,23959,0.20188655620017526,0.07236634594713003
188,10910,27,0.0,2.1475094836035886
189,10911,0,,inf
190,10913,5626,0.1331318876644152,0.1275453441017109
191,10914,455,0.167032967032967,0.7115357137338826
192,10915,14,0.0,3.1314728881118534
193,10916,4265,0.056271981242672964,0.12974078595769772
194,10917,2134,0.18603561387066536,0.24313604315773493
195,10918,12264,0.2167318982387475,0.08937996354991844
196,10919,1331,0.03531179564237419,0.3661881031194779
197,10920,8877,0.19601216627238927,0.09058862540060347
198,10921,3856,0.17997925311203322,0.11800239463468648
199,10922,1568,0.19005102040816324,0.2835310813102685
200,10923,8796,0.3400409276944065,0.1557897772363004
201,10924,13388,0.17963848222288614,0.056860309174248336
202,10925,4061,0.20733809406550108,0.18461569865234972
203,10926,3108,0.3867438867438867,0.22345818557444713
204,10927,12120,0.567986798679868,0.12588217705437216
205,10928,4004,0.25249750249750247,0.08999062764023527
206,10930,8784,0.12283697632058288,0.09400289144773896
207,10931,887,0.5963923337091319,0.2716101845042489
208,10932,106,0.0,1.4942633866583646
209,10933,927,0.08737864077669899,0.42453926108163215
210,10940,49194,0.430804569662967,0.0501767428500191
211,10941,13242,0.3800030206917384,0.09149568957653932
212,10950,49712,0.12063485677502417,0.03228990244481121
213,10952,41631,0.090197208810742,0.050287600214572965
214,10953,190,0.047368421052631615,1.2129076123439422
215,10954,23226,0.3525359510892965,0.07157984696965397
216,10956,31450,0.2647058823529411,0.04603509420231273
217,10958,3121,0.11855174623518105,0.1902913306033336
218,10960,15357,0.25421631829133295,0.0842722322556636
219,10962,5581,0.2108941049991041,0.1334426363637207
220,10963,4263,0.3755571193994839,0.15514770573802433
221,10964,1367,0.1485003657644477,0.2734321280146992
222,10965,15149,0.11650934055053142,0.07283066778524584
223,10968,2249,0.1991996442863495,0.11916243018303609
224,10969,1403,0.09907341411261583,0.25418919245908544
225,10970,9773,0.4292438350557659,0.13365064861157255
226,10973,2322,0.14254952627045647,0.19770286837559625
227,10974,3208,0.10411471321695764,0.06335593070846059
228,10975,291,0.09621993127147765,0.6970098591232293
229,10976,2699,0.22156354205261208,0.22790386391141235
